customer_id,customer_name,gender,age,city,region,signup_date,customer_segment,email,phone,loyalty_score,reader_group
C00001,Sifat Sarker,Male,21,Brahmanbaria,Chattogram,10/8/2022 18:26,Bronze,sifat.sarker@gmail.com,01573681081,34,Young
C00002,Sami Sheikh,Male,24,Dhaka,Dhaka,10/25/2024 10:49,Gold,sami.uddin@yahoo.com,01391624938,63,Young
C00003,Nafis Khan,Male,21,,,12/20/2023 7:28,Gold,nusrat.das@outlook.com,01959490272,77,Young
C00004,Shuvo Uddin,Male,26,Rangamati,Chattogram,7/17/2021 6:43,Gold,rafi.sheikh@outlook.com,01423607802,80,Young
C00005,Nusrat Miah,Female,19,Munshiganj,Dhaka,3/1/2022 20:23,Silver,hasan.miah@outlook.com,01781413381,55,Young
C00006,Sakib Rahman,Female,42,,,6/10/2024 6:39,Gold,muntasir.khan@yahoo.com,01754403374,70,Professional
C00007,Raisa Das,Male,22,Gazipur,Dhaka,2/13/2024 6:52,Platinum,farhan.talukder@outlook.com,01876367489,81,Young
C00008,Adib Patwary,Male,20,Chittagong,Chattogram,7/24/2021 7:49,Gold,sifat.bhuiyan@outlook.com,01579910571,77,Young
C00009,Rahim Patwary,Female,11,Dhaka,Dhaka,7/17/2021 10:31,Gold,shaila.miah@outlook.com,01457745199,78,Kids
C00010,Sadia Ahmed,Female,19,Madaripur,Dhaka,4/20/2024 21:47,Gold,muntasir.bhuiyan@outlook.com,01872490303,64,Young
C00011,Ayesha Islam,Female,23,Madaripur,Dhaka,1/18/2023 22:38,Silver,ayesha.islam@gmail.com,01377977120,60,Young
C00012,Nayeem Patwary,Male,64,Gazipur,Dhaka,7/31/2023 19:38,Gold,tasnima.ahmed@yahoo.com,01814402386,67,Elderly
C00013,Tamim Das,Female,29,Narsingdi,Dhaka,4/28/2024 9:48,Silver,sakib.uddin@yahoo.com,01477739377,48,Young
C00014,Sifat Roy,Female,19,Dhaka,Dhaka,8/16/2025 16:21,Platinum,tanvir.jahan@yahoo.com,01520118902,82,Young
C00015,Ayesha Ahmed,Male,52,Narayanganj,Dhaka,5/16/2022 18:02,Bronze,hasan.islam@outlook.com,01857218123,34,Professional
C00016,Farhan Chowdhury,Female,47,Dhaka,Dhaka,10/11/2024 5:54,Silver,shaila.patwary@outlook.com,01559986994,53,Professional
C00017,Jannat Sarker,Male,27,Rangamati,Chattogram,9/16/2025 18:49,Gold,jannat.sarker@gmail.com,01521434517,61,Young
C00018,Jannat Karim,Female,27,Tangail,Dhaka,12/22/2025 16:35,Gold,mim.roy@yahoo.com,01667421477,70,Young
C00019,Ayesha Khan,Female,27,Dhaka,Dhaka,4/25/2026 9:23,Gold,mim.roy@yahoo.com,01430150229,74,Young
C00020,Rafi Nahar,Male,23,Faridpur,Dhaka,1/10/2021 2:03,Platinum,ayesha.das@gmail.com,01514580790,89,Young
C00021,Muntasir Chowdhury,Male,36,Chittagong,Chattogram,5/31/2021 21:49,Gold,imran.amin@gmail.com,01379752108,63,Professional
C00022,Adib Bhuiyan,Male,22,Chittagong,Chattogram,9/23/2025 23:21,Silver,adib.uddin@outlook.com,01685718407,49,Young
C00023,Nabil Jahan,Female,53,Manikganj,Dhaka,2/14/2022 7:33,Gold,jannat.bhuiyan@yahoo.com,01318156705,70,Professional
C00024,Nabil Uddin,Female,35,Dhaka,Dhaka,7/31/2022 13:15,Silver,mahin.patwary@gmail.com,01733168762,56,Professional
C00025,Farhan Amin,Male,25,Shariatpur,Dhaka,7/30/2023 8:19,Gold,muntasir.rahman@outlook.com,01467814009,71,Young
C00026,Nayeem Sarker,Female,20,Gopalganj,Dhaka,7/27/2024 14:39,Silver,fahim.jahan@gmail.com,01947707942,43,Young
C00027,Muntasir Patwary,Male,39,Dhaka,Dhaka,3/17/2021 10:15,Silver,tamim.amin@yahoo.com,01840826105,59,Professional
C00028,Rahim Chowdhury,Male,29,Madaripur,Dhaka,7/13/2024 19:36,Platinum,hasan.patwary@gmail.com,01848200615,91,Young
C00029,Sadia Miah,Male,35, Cumilla ,,7/4/2021 17:45,Gold,karim.chowdhury@outlook.com,01455477409,65,Professional
C00030,Sakib Talukder,Female,53,Madaripur,Dhaka,1/6/2023 15:06,Silver,farhan.talukder@outlook.com,01526545629,43,Professional
C00031,Mahin Das,Female,51,Dhaka,Dhaka,11/26/2025 11:20,Silver,sifat.jahan@outlook.com,01510882300,56,Professional
C00032,Mahin Sarker,Female,39,Dhaka,Dhaka,9/7/2021 18:40,Bronze,imran.uddin@gmail.com,01363060077,22,Professional
