supplier_id,supplier_name,country,contact_person,phone,email,product_category,rating,contract_start_date,delivery_time_days,city,status,region
S00001,Global Supply Co,Bangladesh,Tanjim Patwary,17676175250,nabil.das@gmail.com,Academic,4.61,2020-05-20 11:49:34,8,Gopalganj,Active,Dhaka
S00002,Bright Enterprises,Bangladesh,Karim Das,17352689600,hasan.roy@outlook.com,Fiction,4.59,2024-10-19 08:28:38,9, Cumilla ,Active,
S00003,Delta Trade Group,Bangladesh,Shuvo Karim,18162830890,tanjim.sarker@gmail.com,Biography,3.57,2023-01-01 18:46:34,6,Noakhali,Active,Chattogram
S00004,Global Logistics,Bangladesh,Muntasir Jahan,13456999320,tasnima.jahan@outlook.com,Programming,4.92,2024-12-16 07:17:16,9,Gopalganj,Active,Dhaka
S00005,Prime Books Ltd,Bangladesh,Tanvir Khan,18691331770,,Biography,4.95,2019-06-09 05:50:23,17, Cumilla ,Active,
S00006,Green Trade Group,Bangladesh,Nayeem Mollik,17580719050,adib.islam@outlook.com,Programming,2.82,2024-07-31 05:07:19,16,Noakhali,Active,Chattogram
S00007,Ocean Supply Co,Usa,Tamim Roy,13398615300,adib.uddin@outlook.com,Programming,3.42,2020-11-22 10:45:14,8,Madaripur,Active,Dhaka
S00008,Ocean Supply Co,Bangladesh,Rafi Khan,13782342000,tasnima.roy@gmail.com,Business,4.0,2021-07-06 04:53:55,7,Bandarban,Inactive,Chattogram
S00009,Green Books Ltd,India,Rafi Hossain,18332285260,farhan.sarker@yahoo.com,Religious,2.71,2019-04-25 10:20:22,11,Feni,Active,Chattogram
S00010,Royal Enterprises,Bangladesh,Tanvir Jahan,15385709290,tanjim.bhuiyan@outlook.com,Academic,3.46,2025-09-04 13:47:50,14,Narayanganj,Active,Dhaka
S00011,Green Distributors,Bangladesh,Nusrat Ahmed,19539673750,shuvo.mollik@gmail.com,Academic,3.15,2023-06-28 11:08:23,5,Madaripur,Active,Dhaka
S00012,Eastern Trade Group,Bangladesh,Hasan Rahman,18728371210,rumana.bhuiyan@outlook.com,Programming,4.88,2022-12-23 07:01:12,15,Narsingdi,Active,Dhaka
S00013,Ocean Logistics,Bangladesh,Shaila Khan,16350745440,farhan.sarker@gmail.com,Religious,3.53,2020-02-09 07:53:05,19,Narayanganj,Active,Dhaka
S00014,Delta Supply Co,China,Sakib Das,19738050060,rumana.sarker@yahoo.com,Programming,4.41,2021-05-12 14:22:28,17, Cumilla ,Active,
S00015,Green Enterprises,Bangladesh,Tamim Das,18953332910,rafi.mollik@yahoo.com,Business,3.47,2022-01-29 08:30:42,11,Narayanganj,Inactive,Dhaka
S00016,Delta Publishing House,Bangladesh,Hasan Talukder,14182403850,,Fiction,2.83,2020-01-12 14:05:37,7,Narsingdi,Active,Dhaka
S00017,Global Enterprises,Bangladesh,Rafi Rahman,17393546370,arif.karim@outlook.com,Exam Prep,4.66,2025-09-14 10:38:03,7,Noakhali,Inactive,Chattogram
S00018,Royal Books Ltd,Uk,Imran Ahmed,16311205030,tanjim.talukder@yahoo.com,Religious,2.5,2022-12-11 07:03:26,15,Bandarban,Active,Chattogram
S00019,Royal Supply Co,Bangladesh,Tamim Bhuiyan,15453925120,fahim.nahar@gmail.com,Academic,2.64,2023-02-02 16:58:13,10,Noakhali,Active,Chattogram
S00020,Prime Logistics,Bangladesh,Tanjim Miah,15768099380,sifat.talukder@yahoo.com,Programming,3.41,2023-12-04 02:59:28,3, Cumilla ,Active,
S00021,Eastern Supply Co,Usa,Tanjim Jahan,17526818320,rumana.uddin@yahoo.com,Exam Prep,4.22,2023-10-02 19:31:49,14,Lakshmipur,Active,Chattogram
S00022,Ocean Distributors,India,Sami Khan,13613657540,,Self Help,3.35,2019-06-10 04:22:09,4,Kishoreganj,Active,Dhaka
S00023,Global Trade Group,China,Imran Ahmed,14382739390,jannat.das@outlook.com,Fiction,2.67,2022-09-20 03:03:28,19,Noakhali,Active,Chattogram
S00024,Delta Trade Group,Bangladesh,Shaila Chowdhury,15450540590,mahin.bhuiyan@yahoo.com,Biography,3.29,2024-06-09 07:39:13,9,Noakhali,Active,Chattogram
S00025,Bright Supply Co,Bangladesh,Nayeem Roy,14864786560,sadia.ahmed@outlook.com,Religious,3.11,2024-08-23 11:58:31,8,Dhaka,Active,Dhaka
S00026,Ocean Publishing House,Bangladesh,Tanjim Miah,19104111150,farhan.patwary@gmail.com,Business,2.51,2023-03-04 11:32:29,2,Narayanganj,Active,Dhaka
S00027,National Enterprises,Usa,Sami Patwary,17676495940,fahim.uddin@gmail.com,Religious,3.84,2025-04-10 03:32:15,5,Narsingdi,Active,Dhaka
S00028,Delta Books Ltd,Bangladesh,Rahim Miah,15522209960,rumana.talukder@gmail.com,Self Help,2.79,2023-02-07 07:59:49,19,Rajbari,Active,Dhaka
S00029,Green Publishing House,India,Arif Talukder,18440166190,tasnima.bhuiyan@outlook.com,Fiction,3.22,2021-09-05 04:59:44,11,Cox's Bazar,Suspended,Chattogram
S00030,Ocean Logistics,Bangladesh,Sakib Uddin,13435256710,adib.amin@gmail.com,Children,4.1,2022-02-05 10:37:10,18,Chittagong,Active,Chattogram
S00031,Metro Supply Co,Bangladesh,Sadia Ahmed,14444450120,raisa.islam@yahoo.com,Business,4.31,2023-10-30 16:54:45,19,Madaripur,Active,Dhaka
S00032,National Trade Group,Bangladesh,Raisa Talukder,14234885530,,Academic,3.16,2025-03-15 20:16:41,2,Brahmanbaria,Active,Chattogram
S00033,Delta Distributors,Bangladesh,Sami Sarker,19215980280,farhan.khan@outlook.com,Self Help,3.32,2020-08-10 14:13:04,8,Rangamati,Active,Chattogram
S00034,Metro Distributors,Usa,Arif Das,17745819000,farhan.sarker@outlook.com,Biography,3.12,2021-01-20 04:02:36,17,Rajbari,Active,Dhaka
S00035,Global Enterprises,Bangladesh,Sami Khan,17104486460,rahim.khan@gmail.com,Religious,4.89,2023-07-25 03:23:45,10,Noakhali,Active,Chattogram
S00036,Ocean Publishing House,Bangladesh,Ayesha Amin,15265879000,farhan.islam@yahoo.com,Biography,2.98,2024-05-05 16:30:12,11,Chandpur,Active,Chattogram
S00037,Delta Books Ltd,Bangladesh,Arif Sheikh,17671987160,arif.amin@yahoo.com,Academic,2.96,2021-10-17 05:48:10,12,Noakhali,Active,Chattogram
S00038,Bright Enterprises,Bangladesh,Tanjim Ahmed,19441747390,adib.hossain@outlook.com,Religious,3.61,2023-07-02 23:07:41,14,Lakshmipur,Active,Chattogram
S00039,National Publishing House,Bangladesh,Mahin Bhuiyan,14931852340,rumana.bhuiyan@yahoo.com,Business,2.97,2019-01-18 08:00:37,18,Dhaka,Inactive,Dhaka
S00040,Green Logistics,Bangladesh,Muntasir Amin,17788251790,jannat.ahmed@yahoo.com,Fiction,2.89,2021-01-15 16:56:36,17,Feni,Suspended,Chattogram
S00041,Metro Enterprises,Bangladesh,Tasnima Rahman,16502645660,farhan.amin@gmail.com,Fiction,2.74,2025-09-08 07:54:05,13,Kishoreganj,Active,Dhaka
S00042,Eastern Supply Co,Bangladesh,Rumana Amin,15774563470,karim.islam@gmail.com,Programming,4.1,2023-01-13 12:21:41,12,Feni,Active,Chattogram
S00043,Bright Logistics,Bangladesh,Farhan Bhuiyan,14977863890,jannat.talukder@yahoo.com,Religious,4.03,2025-01-28 17:40:41,8,Feni,Active,Chattogram
S00044,Global Distributors,Bangladesh,Rafi Sheikh,14514882740,fahim.das@gmail.com,Children,3.55,2020-07-10 07:29:29,4,Manikganj,Active,Dhaka
S00045,Ocean Supply Co,Bangladesh,Mahin Karim,15678273290,muntasir.islam@yahoo.com,Religious,4.43,2021-01-13 09:04:38,14,Faridpur,Active,Dhaka
S00046,Delta Supply Co,Bangladesh,Sami Ahmed,17926798150,rahim.islam@outlook.com,Biography,3.32,2025-10-27 22:11:00,2,Rajbari,Active,Dhaka
S00047,Royal Distributors,Bangladesh,Nayeem Das,18323807190,tamim.amin@yahoo.com,Academic,3.61,2025-12-25 06:25:28,14,Munshiganj,Active,Dhaka
S00048,Royal Distributors,India,Sifat Talukder,14897902120,shaila.islam@yahoo.com,Self Help,4.33,2025-02-19 05:13:31,10,Bandarban,Active,Chattogram
S00049,Prime Logistics,Uk,Hasan Khan,16187790230,imran.karim@gmail.com,Religious,4.51,2021-03-21 13:52:48,16,Faridpur,Active,Dhaka
